Round,Position,Tag,Name,Total Stars,Total Percentage,Bonus Awarded,Demerit,Attacks,Update
7,1,#Y2YQ8P0Q9,lunatic,26,675,7,0,7,14:29 09-Apr-2024
7,2,#8PLG2LYJ0,Linlook,25,677,7,0,7,14:29 09-Apr-2024
7,3,#2RYGYL9G,Podeido,20,593,3,0,6,14:29 09-Apr-2024
7,4,#QVYRJYG2U,poochitaaa,20,572,3,0,6,14:29 09-Apr-2024
7,5,#202PU202,Brian,18,568,3,0,6,14:29 09-Apr-2024
7,6,#G82CYGJU8,harbourfront,16,522,2,0,6,14:29 09-Apr-2024
7,7,#RP99QCPG,Shinikigami,16,466,3,0,6,14:29 09-Apr-2024
7,8,#G8CCCG0Q9,woofwentdog,15,518,3,0,6,14:29 09-Apr-2024
7,9,#JV09YLLV,SacredX,15,517,5,0,7,14:29 09-Apr-2024
7,10,#GC22C0G2,Raven,15,503,3,0,6,14:29 09-Apr-2024
7,11,#9QJPVYC0,tengah,15,435,4,0,6,14:29 09-Apr-2024
7,12,#QCP0PPYU,我家MYHOUSE,12,337,4,0,4,14:29 09-Apr-2024
7,13,#LL292PRC0,yishun,10,539,0,3,6,14:29 09-Apr-2024
7,14,#LQ9PGUU8,我啊公家Grandpahome,9,301,2,0,4,14:29 09-Apr-2024
7,15,#Y282UQ80Q,Awkurtle,4,100,1,0,1,14:29 09-Apr-2024
7,16,#20VJ9V0UY,3Hours,2,84,0,0,1,14:29 09-Apr-2024
7,17,#G0GGJC99V,niconicorobin,0,0,0,0,0,14:29 09-Apr-2024
7,18,#U8VRJYUC,seasaurus,0,0,0,0,0,14:29 09-Apr-2024
7,19,#8YQRU2UG,dessy,0,0,0,0,0,14:29 09-Apr-2024
7,20,#QVUU9G09P,bedok,0,0,0,0,0,14:29 09-Apr-2024
7,21,#YVLLRJJV,Twinstar,0,0,0,0,0,14:29 09-Apr-2024
7,22,#QCYYJ8LLJ,我外婆家GrannyHouse,0,0,0,0,0,14:29 09-Apr-2024
7,23,#982J0Q9J,✨MVP✨,0,0,0,0,0,14:29 09-Apr-2024
7,24,#JYVJCQCG,Unicorn,0,0,0,0,0,14:29 09-Apr-2024
7,25,#QCJVJRUCJ,Mr. Tess,0,0,0,0,0,14:29 09-Apr-2024
7,26,#29J2GYLC,®️lunatic®️,0,0,0,0,0,14:29 09-Apr-2024
7,27,#VJJJVGY2,ACAP,0,0,0,0,0,14:29 09-Apr-2024
7,28,#QV0VGJ0J9,我啊妈家Grandmahaus,0,0,0,0,0,14:29 09-Apr-2024
7,29,#20CL2LQG,Lee Hsien Loong,0,0,0,0,0,14:29 09-Apr-2024
7,30,#QVQYQ2RQ8,tonytonychopper,0,0,0,0,0,14:29 09-Apr-2024
7,31,#GPU8RJ9G2,rookie,0,0,0,0,0,14:29 09-Apr-2024
7,32,#8CJ9Y2RJU,RaveN,0,0,0,0,0,14:29 09-Apr-2024
7,33,#J8V0Q088,捐兵号,0,0,0,0,0,14:29 09-Apr-2024
7,34,#G0ULGUUR2,Sacr3dX,0,0,0,0,0,14:29 09-Apr-2024
7,35,#G8QVLYYLL,JohnWeak,0,0,0,0,0,14:29 09-Apr-2024
7,36,#QQQJ8QCC9,Ghoul,0,0,0,0,0,14:29 09-Apr-2024
7,37,#J9RQLJ0Q,BlackX,0,0,0,0,0,14:29 09-Apr-2024
7,38,#G0RVVULRP,nutsiao,0,0,0,0,0,14:29 09-Apr-2024
7,39,#Q88UGCL29,Baconbanmi,0,0,0,0,0,14:29 09-Apr-2024
7,40,#9UQGPRLYP,Halimah Yacob,0,0,0,0,0,14:29 09-Apr-2024
7,41,#QC8VYYR90,Daros Diastima,0,0,0,0,0,14:29 09-Apr-2024
7,42,#G8QL2L22Q,Ryewff,0,0,0,0,0,14:29 09-Apr-2024
7,43,#G9PJ2URGP,raven,0,0,0,0,0,14:29 09-Apr-2024
